alpha,rho,detection_mode,update_buffer,shadow_method,tau_s,tau_h,shadow_alpha,shadow_beta,kernel_opening_size,kernel_closing_size,morph_shape,morph_op,min_area,merge_dist,mAP
1.6982770901729352,0.09112653780141093,gray,2,hsv,64,95,0.5644640120891853,0.8757127534877974,7,17,ellipse,open,582,13,0.0
4.084405804250865,0.005099576896108308,rgb,0,hsv,41,124,0.7055874036492,0.9218384738177449,5,11,ellipse,open_close,229,28,0.2614814286445929
2.4636677784485697,0.1021405010697876,rgb,1,hsv,48,120,0.8921534969005278,0.9328905584855899,3,19,ellipse,open,275,18,0.009926027238272411
3.8153516477536193,0.019618184379442356,gray,4,hsv,42,115,0.8601218763378788,0.8114870762531596,5,9,ellipse,open,270,47,0.12309464132771741
2.906135621943258,0.05875489175823293,gray,0,hsv,82,107,0.7123783223141696,0.8466467571648542,3,5,rect,close_open,245,43,0.3121041398822897
5.741314996454919,0.0806301939442051,gray,3,hsv,21,96,0.6121646372591506,0.8186944004745174,7,9,ellipse,close,447,38,0.531307766597601
3.3006385685786306,0.0276672064292255,rgb,1,hsv,51,129,0.5145557804579535,0.8782265861793678,7,17,ellipse,open,436,14,0.06783852271475578
4.347986542928966,0.02119075986706124,gray,0,hsv,73,122,0.6343768110933359,0.8047417359761083,5,13,ellipse,open,226,30,0.3400406701848503
5.311117267963487,0.018768067089644215,gray,1,hsv,69,110,0.523638413430703,0.8335782862249107,3,19,ellipse,open_close,563,29,0.5770382103784861
2.0386630119963725,0.0290628112916746,gray,0,hsv,82,93,0.7847709514436679,0.9638896742423627,3,9,rect,close_open,537,34,0.08336752815135252
2.7135419417883053,0.11777002820444774,rgb,4,hsv,23,100,0.5419660002711857,0.9752215157818827,5,13,rect,open,447,48,0.010349549439784982
5.940036227881369,0.007924452665009424,rgb,2,hsv,65,136,0.5294230406741768,0.8512399585133548,3,21,rect,open_close,355,25,0.4605873095165088
5.958166116637308,0.010177931492436041,gray,3,hsv,21,140,0.6140337649904485,0.8376672307407191,7,21,ellipse,close,510,35,0.5636356490416496
5.873621152082834,0.05392340144429283,gray,3,hsv,20,105,0.6140330640943923,0.8333917974103985,7,5,ellipse,close,503,37,0.6053954240517241
5.010678943300949,0.011726823711927022,gray,3,hsv,33,139,0.6226971618325158,0.8436246167381781,7,21,ellipse,close,525,22,0.5380508023096717
4.984901460763321,0.06216736518000886,gray,3,hsv,33,107,0.6502340744297208,0.8803031592313757,5,5,ellipse,close,597,22,0.6044130368990217
5.279638819437309,0.05082617931507595,gray,1,hsv,61,106,0.6629666463256609,0.889133481216905,5,5,ellipse,open_close,584,40,0.5616802529613232
4.749013739325805,0.1766321878555272,gray,3,hsv,34,103,0.6717222263464854,0.8888232238894306,5,5,ellipse,close,479,40,0.17041094343732435
4.681888458960607,0.18811579584059432,gray,3,hsv,34,102,0.7503136944354811,0.9117059136068307,5,7,ellipse,close,495,21,0.10950876769884975
4.633961046148601,0.047345327762639666,gray,4,hsv,32,115,0.7344484371839017,0.9116206071823597,7,7,rect,close,354,20,0.38604208138943547
5.440241516446841,0.04541586263967411,gray,4,hsv,27,113,0.5785441617019358,0.8636217745146318,7,7,rect,close,365,34,0.5654210858835707
