model,subtype,mAP50
mog,none,0.5426
mog2,none,0.5469
lsbp,none,0.089
lsbp,roi,0.1176
mog,roi,0.5033
mog2,roi,0.513
mog2,thv8,0.5367
mog2,thv12,0.5623
mog2,thv16,0.5469
mog2,thv24,0.4942
mog2,thv36,0.4543
mog,OC_3_7,0.5517
mog,OC_3_11,0.5206
mog,OC_3_15,0.5136
mog,OC_5_7,0.4615
mog,OC_5_11,0.5774
mog,OC_5_15,0.5970
mog,OC_7_7,0.1943
mog,OC_7_11,0.3422
mog,OC_7_15,0.4419
mog2,OC_3_7,0.5414
mog2,OC_3_11,0.4755
mog2,OC_3_15,0.4016
mog2,OC_5_7,0.5253
mog2,OC_5_11,0.5823
mog2,OC_5_15,0.5946
mog2,OC_7_7,0.4183
mog2,OC_7_11,0.4772
mog2,OC_7_15,0.5371
mog,min_15,0.5965
mog2,min_15,0.5941
mog,min_25,0.5970
mog2,min_25,0.5946
mog,min_35,0.5806
mog2,min_35,0.5419
mog,min_45,0.5033
mog2,min_45,0.4802
mog,conf_0.0,0.5969915868410365
mog2,conf_0.0,0.5945838604639393
lsbp,conf_0.0,0.11767616799580126
mog,conf_0.1,0.5969915868410365
mog2,conf_0.1,0.5945838604639393
lsbp,conf_0.1,0.11775314984438946
mog,conf_0.2,0.5971605932954628
mog2,conf_0.2,0.5951623126154305
lsbp,conf_0.2,0.11821026508934467
mog,conf_0.3,0.5986929181727343
mog2,conf_0.3,0.5941059114381045
lsbp,conf_0.3,0.1211050130090144
mog,conf_0.4,0.5801011263495166
mog2,conf_0.4,0.6082417138864739
lsbp,conf_0.4,0.1395604684745747
mog,conf_0.5,0.4897803403667208
mog2,conf_0.5,0.5919872952828358
lsbp,conf_0.5,0.179402961821894
mog,conf_0.6,0.25640896582241923
mog2,conf_0.6,0.4800655320741251
lsbp,conf_0.6,0.22236535030748586
mog,conf_0.7,0.04342748336608947
mog2,conf_0.7,0.23460431258321063
lsbp,conf_0.7,0.10416915247272647
mog,conf_0.8,0.009900990099009901
mog2,conf_0.8,0.039072363612200144
lsbp,conf_0.8,0.009900990099009901
mog,conf_0.9,0.0
mog2,conf_0.9,0.0
lsbp,conf_0.9,0.0
mog,conf_1.0,0.0
mog2,conf_1.0,0.0
lsbp,conf_1.0,0.0
